name,Logistic_Regression_MCC_std,Logistic_Regression_AUC-ROC_std,Logistic_Regression_F1_std,SVM_MCC_std,SVM_AUC-ROC_std,SVM_F1_std,KNN_MCC_std,KNN_AUC-ROC_std,KNN_F1_std,Random_Forest_MCC_std,Random_Forest_AUC-ROC_std,Random_Forest_F1_std,XGBoost_MCC_std,XGBoost_AUC-ROC_std,XGBoost_F1_std
hiv_sqv,0.0360784908048591,0.0171825397051307,0.0143337197214901,0.0430663264366194,0.023086664944051,0.0161626115898817,0.0821976613450219,0.0385550663470529,0.0290577307294393,0.0651067727012323,0.0335328790784601,0.0244795442928366,0.0457626993000501,0.0219638944639676,0.0186517002071796
hiv_v3,0.0265411340691727,0.0150915705170229,0.0230072890298339,0.0308340040756393,0.0228842823501372,0.0279994097412162,0.0480776597876935,0.0317986637617515,0.0485783674314172,0.0401311941719455,0.0294939939268737,0.0379662446305179,0.024354466883269,0.0172309045840104,0.0212569412067881
isp_il10pred,0.0468142612479582,0.0245398187377885,0.0413168030986615,0.0288505225655228,0.0197927190075384,0.0523693661978861,0.0736719471965514,0.0397634428851213,0.0448508016449398,0.0354499572690097,0.0185664301841815,0.0429022133145537,0.0760552244360435,0.0361881623973516,0.0707220850134636
nep_neuropipred,0.0225000265244023,0.0111976673955801,0.0111224743032214,0.0208068051634817,0.010125740083811,0.0116976368193504,0.0329981704251551,0.0102220250399989,0.0061241101739533,0.0197338321449188,0.0095618288746751,0.0101554684578292,0.0277841367713773,0.0142971382893677,0.0162624086307039
neuropeptide,0.0152460677011999,0.007586956491948,0.0076865797061472,0.0167190965161568,0.0084259038110113,0.0096572189619605,0.019920447290354,0.0075194154757981,0.0080289126236336,0.0215411692338411,0.0110381515994426,0.0124257167261978,0.0131176897025367,0.0066938899302053,0.0060891070654529
pip_pipel,0.0324037740413237,0.0185930256087799,0.0354265962418304,0.0389748649576877,0.0143148917415997,0.033907582121032,0.0135203665718004,0.0061583462641789,0.0200652407115268,0.0407618271059213,0.0191048615250412,0.040006917616848,0.0346866918097195,0.0164796024658572,0.0350060500760003
quorum_sensing,0.0723496587572417,0.0378603910797387,0.0328249129038466,0.0750656386897658,0.0377989253199219,0.0352924125969953,0.0449072475919604,0.0224197113871136,0.013018132746223,0.0489786339857477,0.024730068102151,0.0253059483058206,0.0894356647444764,0.0481021450613268,0.0389458938221797
tce_zhao,0.0846890761815193,0.0593130035933305,0.0937341253360792,0.1474980058644335,0.0579861889684404,0.1340756806205506,0.1871597944332678,0.1172995652384627,0.1565065229106725,0.0894755642799029,0.0504787643916989,0.1203163873204778,0.0840917169178348,0.0601598875216071,0.0875581230787541
toxic,0.0262703941181316,0.0131264616433843,0.0129322683275125,0.0145769541094264,0.0072463617059149,0.0075501780355433,0.0165725512681919,0.0086881697310772,0.0071340103234715,0.0076047395457548,0.0038474074283626,0.0035986899879351,0.0223646240193233,0.0112025560615348,0.0112080683687379
toxic_PLPTP,0.021796918616867,0.0122698208502868,0.0164864589027444,0.018746226924441,0.0091826305194591,0.0135986897073807,0.0077781502378362,0.0073170406454996,0.0101285377211884,0.0138510933815992,0.0050764678704645,0.0093393091275251,0.0138850872252416,0.0067536004509668,0.0100192737686982
